field_1,lat,long,Hub distance_HubDist,HubName,HubDist
"0",47.5112,-122.257,,"10000051",2.81585024669307
"1",47.721,-122.319,,"903040",0.983946295372298
"2",47.7379,-122.233,,"903089",2.444207478591
"3",47.5208,-122.393,,"903026",2.79392796292384
"4",47.6168,-122.045,,"903071",3.02519587198223
"5",47.6561,-122.005,,"903071",2.75489489534458
"6",47.3097,-122.327,,"903075",1.04148900823577
"7",47.4095,-122.315,,"903035",0.984992539247199
"8",47.5123,-122.337,,"903072",3.15108093762612
"9",47.3684,-122.031,,"903060",0.396547968605498
"10",47.6007,-122.145,,"903073",1.50441620689408
"11",47.69,-122.292,,"903040",2.06404971873799
"12",47.7558,-122.229,,"903048",1.8714429333699
"13",47.6127,-122.045,,"903071",3.29717539327862
"14",47.67,-122.394,,"903027",0.564406057838756
"15",47.5714,-122.375,,"903026",0.935867140550602
"16",47.7277,-121.962,,"903074",1.62825499401104
"17",47.6648,-122.343,,"903033",0.610551747316055
"18",47.3089,-122.21,,"903047",0.828575950004155
"19",47.3343,-122.306,,"903075",1.09189988295984
"20",47.7025,-122.341,,"903028",1.82084594118749
"21",47.5316,-122.233,,"903046",3.47540229246101
"22",47.3266,-122.169,,"903047",3.01412258302102
"23",47.3533,-122.166,,"10000050",2.5698711080214
"24",47.3739,-122.172,,"10000050",1.49665344708784
"25",47.3048,-122.218,,"903047",0.466996283268737
"26",47.6386,-122.36,,"903076",0.208995337632524
"27",47.6221,-122.314,,"903037",0.332769268767216
"28",47.695,-122.304,,"903040",1.72248756212358
"29",47.7073,-122.11,,"903057",1.83560914285802
"30",47.5391,-122.07,,"903061",1.22449154747347
"31",47.7274,-122.357,,"903029",1.10422477926145
"32",47.6823,-122.368,,"903028",0.678348768432409
"33",47.6889,-122.375,,"903028",1.20333125249425
"34",47.4276,-122.157,,"10000050",3.82697918501796
"35",47.6827,-122.31,,"903038",1.25145986440998
"36",47.6621,-122.132,,"903057",1.8871049110109
"37",47.6702,-122.362,,"903028",0.624062715678242
