field_1,lat,long,park_distance_HubDist
"0",47.5112,-122.257,0.258333462342559
"1",47.721,-122.319,0.199450289011175
"2",47.7379,-122.233,0.159226187439079
"3",47.5208,-122.393,0.114576066733286
"4",47.6168,-122.045,0.681299903136492
"5",47.6561,-122.005,1.09481249660392
"6",47.3097,-122.327,0.371409945936843
"7",47.4095,-122.315,0.284612259338645
"8",47.5123,-122.337,0.365488824387942
"9",47.3684,-122.031,0.145544318297976
"10",47.6007,-122.145,0.462609579625495
"11",47.69,-122.292,0.18178897871538
"12",47.7558,-122.229,0.320698112079541
"13",47.6127,-122.045,0.790725813458385
"14",47.67,-122.394,0.0750295602625038
"15",47.5714,-122.375,0.585394418997313
"16",47.7277,-121.962,0.399372475336303
"17",47.6648,-122.343,0.281245125414064
"18",47.3089,-122.21,0.306914629272671
"19",47.3343,-122.306,0.173100722739266
"20",47.7025,-122.341,0.293379556123736
"21",47.5316,-122.233,0.294236239799299
"22",47.3266,-122.169,0.771472614850523
"23",47.3533,-122.166,0.22567739694229
"24",47.3739,-122.172,0.386770847827388
"25",47.3048,-122.218,0.37255746481863
"26",47.6386,-122.36,0.106886464359186
"27",47.6221,-122.314,0.16378386113516
"28",47.695,-122.304,0.242639996222473
"29",47.7073,-122.11,0.319049716190876
"30",47.5391,-122.07,0.181508972738521
"31",47.7274,-122.357,0.420712643914938
"32",47.6823,-122.368,0.125662384654358
"33",47.6889,-122.375,0.0846842035857453
"34",47.4276,-122.157,0.571376447979853
"35",47.6827,-122.31,0.231531890386568
"36",47.6621,-122.132,0.202299416176847
"37",47.6702,-122.362,0.100294276669618
"38",47.3341,-122.282,0.29938733882501
"39",47.5301,-122.18,0.475928019498824
"40",47.6145,-122.027,1.04752205233865
"41",47.445,-122.347,0.0532861610552829
"42",47.6848,-122.016,0.938858314026338
"43",47.6413,-122.364,0.122906504456149
"44",47.4485,-122.175,0.436063730212996
"45",47.7443,-121.977,0.0885981408457924
"46",47.3066,-122.371,0.0996890335402603
"47",47.6194,-122.151,0.253743089470534
"48",47.6796,-122.301,0.265521280431102
"49",47.4041,-122.451,0.494590325769185
"50",47.4258,-122.322,0.415880886975689
"51",47.4934,-122.189,0.317387616106725
"52",47.6808,-122.384,0.123913486642245
"53",47.6989,-122.369,0.542218127154437
"54",47.6571,-122.281,0.168290515475368
"55",47.6597,-122.29,0.445411733612262
"56",47.3663,-122.114,0.496772306368713
"57",47.3663,-122.122,0.682133900563765
"58",47.588,-122.116,0.318361023250627
"59",47.5059,-122.149,0.473905366787846
"60",47.4336,-122.339,0.318575596191248
"61",47.4366,-122.335,0.358702682317097
"62",47.4428,-122.344,0.16749780218061
"63",47.6765,-122.32,0.125181949544231
"64",47.6113,-122.297,0.210543726286337
"65",47.5747,-122.304,0.30116001300085
"66",47.5815,-122.192,0.303954216350512
"67",47.3378,-122.257,1.08566894500238
"68",47.3621,-122.11,0.61862578166562
"69",47.6303,-122.215,0.0817724118775892
"70",47.6525,-122.16,0.388577950589689
"71",47.7362,-122.179,0.134161934057647
"72",47.7168,-122.287,0.367196860384748
"73",47.3608,-122.036,0.249698092552817
"74",47.3511,-122.073,0.783128159024224
"75",47.5822,-121.987,0.499351347288241
"76",47.6034,-122.125,0.16709047472773
"77",47.5636,-122.394,0.150348827852418
"78",47.7073,-122.34,0.195118380791127
"79",47.342,-122.025,0.338169979770685
"80",47.3512,-122.008,0.170513553288682
"81",47.349,-122.031,0.64344239417629
"82",47.5474,-122.291,0.427753263608628
"83",47.4811,-122.149,0.230174615947017
"84",47.7264,-122.31,0.38098095652615
"85",47.6337,-122.365,0.26952048071322
"86",47.2909,-122.189,0.201505559195208
"87",47.5228,-122.199,0.450484711017098
"88",47.518,-122.194,0.0913863518101037
"89",47.5394,-122.387,0.260860330422147
"90",47.2897,-122.372,0.300816921589859
"91",47.6506,-122.391,0.311520372786076
"92",47.322,-122.351,0.0980767064663509
"93",47.687,-122.386,0.237819597362459
"94",47.687,-122.386,0.237819597362459
"95",47.5873,-122.249,0.0499132188599257
"96",47.3576,-122.277,0.599755834113295
"97",47.3036,-122.378,0.243187850833946
"98",47.4109,-121.958,0.803677649342378
"99",47.4838,-121.714,1.21462972697195
"100",47.6415,-122.315,0.18962106176064
"101",47.6775,-122.372,0.120460870568427
"102",47.7731,-122.08,0.801068692855405
"103",47.5814,-122.196,0.171077416652441
"104",47.4375,-122.184,0.48009875771083
"105",47.4431,-122.133,0.595557827359477
"106",47.6878,-122.38,0.296665985253177
"107",47.3813,-122.322,0.361016537078706
"108",47.7304,-122.082,0.62249525056466
"109",47.6417,-122.109,0.265243369113274
"110",47.5386,-122.053,0.347015353530898
"111",47.6823,-122.349,0.303814715833916
"112",47.3624,-122.031,0.203686111793446
"113",47.5474,-122.295,0.376279670399095
"114",47.3183,-122.253,0.108402961858497
"115",47.6981,-122.368,0.470080157678918
"116",47.6824,-122.347,0.30635036345265
"117",47.5009,-122.248,0.357546949566187
"118",47.4965,-122.303,0.46167791502999
"119",47.587,-122.294,0.0725633445694702
"120",47.7728,-122.386,0.0458953465809783
"121",47.7288,-122.226,0.553015193824368
"122",47.6999,-122.364,0.411719182650013
"123",47.5299,-122.266,0.157797181128576
"124",47.6897,-122.098,0.265394473134973
"125",47.6141,-122.212,0.126888970544931
"126",47.5091,-122.244,0.15741615565535
"127",47.3129,-122.39,0.643415102781358
"128",47.6763,-122.352,0.232173700580544
"129",47.5319,-121.85,0.0890759175016786
"130",47.2761,-122.152,0.0993018348479222
"131",47.5343,-122.054,0.459208509155267
"132",47.697,-122.072,0.451467587255349
"133",47.5517,-121.998,0.171831343796395
"134",47.6734,-122.38,0.0681952344514889
