field_1,lat,long,park_distance_Hub distance_HubDist,park_distance_HubDist,HubName,HubDist
"0",47.5112,-122.257,,0.258333462342559,"703",3.02250026599417
"1",47.721,-122.319,,0.199450289011175,"2056",3.03309724180489
"2",47.7379,-122.233,,0.159226187439079,"2055",0.939630193730575
"3",47.5208,-122.393,,0.114576066733286,"207",0.730600169338286
"4",47.6168,-122.045,,0.681299903136492,"1364",4.06785833351775
"5",47.6561,-122.005,,1.09481249660392,"1364",4.81838930883574
"6",47.3097,-122.327,,0.371409945936843,"1063",8.61878442545467
"7",47.4095,-122.315,,0.284612259338645,"1063",6.64538345040099
"8",47.5123,-122.337,,0.365488824387942,"692",2.81183724978187
"9",47.3684,-122.031,,0.145544318297976,"1064",6.8331433071252
"10",47.6007,-122.145,,0.462609579625495,"1182",1.92254543523629
"11",47.69,-122.292,,0.18178897871538,"814",3.76963101002003
"12",47.7558,-122.229,,0.320698112079541,"2055",2.11962478610097
"13",47.6127,-122.045,,0.790725813458385,"1364",4.26779663745168
"14",47.67,-122.394,,0.0750295602625038,"883",5.06147697018391
"15",47.5714,-122.375,,0.585394418997313,"207",2.94751389091902
"16",47.7277,-121.962,,0.399372475336303,"1364",8.37606079603894
"17",47.6648,-122.343,,0.281245125414064,"883",3.48439965054953
"18",47.3089,-122.21,,0.306914629272671,"1063",5.34142938047627
"19",47.3343,-122.306,,0.173100722739266,"1063",6.86515551183316
"20",47.7025,-122.341,,0.293379556123736,"814",5.09684691600676
"21",47.5316,-122.233,,0.294236239799299,"703",1.83373131948089
"22",47.3266,-122.169,,0.771472614850523,"1063",3.93920161417824
"23",47.3533,-122.166,,0.22567739694229,"1064",2.17318549483129
"24",47.3739,-122.172,,0.386770847827388,"1064",0.722544432834548
"25",47.3048,-122.218,,0.37255746481863,"1063",5.72408063808118
"26",47.6386,-122.36,,0.106886464359186,"883",2.42217178923279
"27",47.6221,-122.314,,0.16378386113516,"883",0.425387885482009
"28",47.695,-122.304,,0.242639996222473,"814",4.131681040186
"29",47.7073,-122.11,,0.319049716190876,"1364",3.45421673278682
"30",47.5391,-122.07,,0.181508972738521,"1214",5.87393348383782
"31",47.7274,-122.357,,0.420712643914938,"2056",4.72891933789037
"32",47.6823,-122.368,,0.125662384654358,"883",5.05450447494282
"33",47.6889,-122.375,,0.0846842035857453,"883",5.60946149820094
"34",47.4276,-122.157,,0.571376447979853,"1064",3.1121817161908
"35",47.6827,-122.31,,0.231531890386568,"814",3.3331117203015
"36",47.6621,-122.132,,0.202299416176847,"1363",0.620809972487143
