price,bedrooms,bathrooms,sqft_living,sqft_lot,condition,grade,new_waterfront,district_grade_num,median_household_income,income_per_capita,median_rent,health_disparity_index,museum_zipcode,stadium_zipcode,golf_zipcode,near_park,age_at_sale,recently_renovated,has_basement,multi_story
221900.0,3,1,1180,5650,3,7,0.0,10,93862.0,36991.0,1032.0,8.0,0.0,0.0,0.0,1.0,59,0,0,0.0
538000.0,3,2,2570,7242,3,7,0.0,10,69790.0,37334.0,1341.0,7.0,0.0,0.0,1.0,1.0,63,0,1,1.0
180000.0,2,1,770,10000,3,6,0.0,11,126269.0,51943.0,1725.0,3.0,0.0,0.0,1.0,1.0,82,0,0,0.0
604000.0,4,3,1960,5000,5,7,1.0,10,107201.0,64829.0,1401.0,6.0,0.0,0.0,0.0,1.0,49,0,1,0.0
510000.0,3,2,1680,8080,3,8,0.0,12,170063.0,66934.0,1699.0,1.0,0.0,0.0,1.0,0.0,28,0,0,0.0
257500.0,3,2,1715,6819,3,7,0.0,6,41359.0,25811.0,977.0,8.0,0.0,1.0,0.0,0.0,19,0,0,1.0
291850.0,3,2,1060,9711,3,7,0.0,6,63692.0,26275.0,1314.0,9.0,0.0,0.0,0.0,0.0,52,0,0,0.0
229500.0,3,1,1780,7470,3,7,0.0,6,39301.0,20313.0,550.0,9.0,0.0,0.0,0.0,1.0,55,0,1,0.0
323000.0,3,2,1890,6560,3,7,0.0,11,118548.0,41603.0,1769.0,3.0,0.0,0.0,1.0,0.0,12,0,0,1.0
662500.0,3,2,3560,9796,3,8,0.0,12,72942.0,42158.0,1499.0,5.0,0.0,0.0,0.0,1.0,50,0,1,0.0
468000.0,2,1,1160,6000,4,7,0.0,10,118750.0,56329.0,1320.0,1.0,0.0,0.0,1.0,1.0,72,0,1,0.0
310000.0,3,1,1430,19901,4,7,0.0,11,81796.0,46482.0,1112.0,5.0,0.0,0.0,1.0,1.0,87,0,0,1.0
400000.0,3,2,1370,9680,4,7,0.0,12,149743.0,65311.0,1898.0,2.0,0.0,0.0,1.0,1.0,37,0,0,0.0
530000.0,5,2,1810,4850,3,7,1.0,10,89375.0,63777.0,1303.0,2.0,0.0,0.0,0.0,1.0,115,0,0,1.0
650000.0,4,3,2950,5000,3,9,0.0,10,81066.0,50639.0,1340.0,6.0,0.0,0.0,1.0,1.0,36,0,1,1.0
395000.0,3,2,1890,14040,3,7,0.0,9,142738.0,53236.0,1532.0,1.0,0.0,0.0,0.0,0.0,20,0,0,1.0
485000.0,4,1,1600,4300,4,7,0.0,10,87112.0,57466.0,1500.0,4.0,0.0,1.0,0.0,1.0,98,0,0,1.0
189000.0,2,1,1200,9850,4,7,0.0,8,63516.0,27629.0,958.0,9.0,1.0,0.0,0.0,0.0,93,0,0,0.0
230000.0,3,1,1250,9774,4,7,0.0,6,62036.0,23399.0,1095.0,10.0,0.0,1.0,0.0,0.0,46,0,0,0.0
385000.0,4,2,1620,4980,4,7,0.0,10,70250.0,45565.0,1208.0,7.0,1.0,0.0,0.0,1.0,67,0,1,0.0
285000.0,5,2,2270,6300,3,8,0.0,8,82917.0,31039.0,1243.0,8.0,0.0,1.0,1.0,1.0,19,0,0,1.0
252700.0,2,2,1070,9643,3,7,0.0,8,73610.0,24949.0,1127.0,10.0,0.0,0.0,0.0,1.0,29,0,0,0.0
